"","day","month","Replicate","Time","Analysis","S_phase"
"1",4,3,"2021 B","17:35:44","manual",37.29
"2",4,3,"2021 A","23:03:48","manual",44
"3",5,3,"2021 B","16:11:07","manual",58.8
"4",7,3,"2021 A","15:18:55","manual",39
"5",7,3,"2021 A","16:30:04","manual",21.4
"6",7,3,"2021 A","16:59:51","manual",41
"7",8,3,"2021 B","11:01:41","manual",35.6
"8",8,3,"2021 B","12:12:31","manual",35.5
"9",8,3,"2021 A","17:04:59","manual",45
"10",8,3,"2021 B","20:17:43","manual",41
"11",9,3,"2021 A","9:33:25","manual",38
"12",9,3,"2021 A","10:00:52","manual",62.75
"13",9,3,"2021 A","11:21:20","manual",49.5
"14",9,3,"2021 B","12:13:39","manual",38.3
"15",9,3,"2021 B","13:29:33","manual",44
"16",9,3,"2021 A","13:41:48","manual",30.2
"17",9,3,"2021 B","15:31:21","manual",3.192
"18",9,3,"2021 A","15:53:17","manual",25.5
"19",9,3,"2021 B","16:57:57","manual",29.9
"20",9,3,"2021 A","17:25:00","manual",35.8
"21",9,3,"2021 A","19:21:22","manual",33.7
"22",9,3,"2021 A","19:27:27","manual",37.2
"23",9,3,"2021 B","19:42:28","manual",32.3
"24",9,3,"2021 B","21:26:30","manual",45.4
"25",14,3,"2021 C","15:46:54","manual",37.84
"26",15,3,"2021 C","13:42:36","manual",41.91
"27",16,3,"2021 C","11:58:26","manual",32.37
"28",16,3,"2021 D","15:48:28","manual",27.8
"29",16,3,"2021 C","16:19:14","manual",40.8
"30",16,3,"2021 C","16:25:23","manual",38
"31",17,3,"2021 C","14:21:22","manual",40.79
"32",17,3,"2021 D","16:32:59","manual",28
"33",17,3,"2021 C","19:59:42","manual",37.8
"34",17,3,"2021 D","20:00:16","manual",24.24
"35",18,3,"2021 D","17:03:43","manual",36.97
"36",18,3,"2021 D","18:15:15","manual",28.7
"37",18,3,"2021 C","19:11:46","manual",34.7
"38",18,3,"2021 D","20:32:16","manual",35
"39",18,3,"2021 C","21:18:52","manual",35.8
"40",18,3,"2021 D","21:54:39","manual",30.45
"41",19,3,"2021 C","11:03:55","manual",70.19
"42",19,3,"2021 D","11:33:03","manual",36.75
"43",19,3,"2021 C","12:54:36","manual",36
"44",19,3,"2021 D","13:00:37","manual",42
"45",19,3,"2021 D","14:13:42","manual",44
"46",19,3,"2021 C","16:45:47","manual",39.86
"47",19,3,"2021 C","17:33:13","manual",61.9
"48",19,3,"2021 C","18:05:13","manual",64.44
"49",19,3,"2021 D","18:08:59","manual",36.82
"50",11,3,"2022 B","14:38:47","manual",23.2
"51",11,3,"2022 A","15:59:44","manual",35.8
"52",11,3,"2022 B","16:06:24","manual",64
"53",14,3,"2022 B","19:50:28","manual",28
"54",15,3,"2022 B","11:54:50","manual",46.36
"55",15,3,"2022 A","12:07:10","manual",39.8
"56",15,3,"2022 B","12:39:50","manual",10
